::1 - - [08/Jul/2024:12:09:07 +0000] "POST /api/v1/api/v1/cycles/predict HTTP/1.1" 404 168 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"
::1 - - [08/Jul/2024:12:13:59 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 400 51 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:12:24:39 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 400 51 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:12:24:56 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 400 51 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:12:32:51 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 27 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:12:33:44 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 450 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"
::1 - - [08/Jul/2024:12:34:22 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 27 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:12:34:26 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 27 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:12:39:42 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 27 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:12:39:45 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 27 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:12:40:26 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 15 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:12:40:46 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 450 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"
::1 - - [08/Jul/2024:12:41:03 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 15 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:12:41:19 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 15 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:13:25:25 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 15 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:13:25:41 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 450 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"
::1 - - [08/Jul/2024:13:25:56 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 15 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:13:25:58 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 15 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:13:26:12 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 450 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"
::1 - - [08/Jul/2024:13:26:56 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 15 "-" "PostmanRuntime/7.40.0"
::1 - - [08/Jul/2024:13:28:29 +0000] "POST /api/v1/cycles/predict HTTP/1.1" 401 27 "-" "PostmanRuntime/7.40.0"
